source_plate,source_position,dest_plate,destination_position,transfer_volume
cells,1,balanced_culture,1,900
cells,1,balanced_culture,1,900
cells,1,balanced_culture,1,460
cells,2,balanced_culture,2,900
cells,2,balanced_culture,2,900
cells,2,balanced_culture,2,179
cells,3,balanced_culture,3,900
cells,3,balanced_culture,3,900
cells,3,balanced_culture,3,157
cells,4,balanced_culture,4,900
cells,4,balanced_culture,4,900
cells,4,balanced_culture,4,105
cells,5,balanced_culture,5,900
cells,5,balanced_culture,5,900
cells,5,balanced_culture,5,34
cells,6,balanced_culture,6,900
cells,6,balanced_culture,6,796
cells,7,balanced_culture,7,900
cells,7,balanced_culture,7,900
cells,7,balanced_culture,7,275
cells,8,balanced_culture,8,900
cells,8,balanced_culture,8,900
cells,8,balanced_culture,8,445
cells,9,balanced_culture,9,900
cells,9,balanced_culture,9,900
cells,9,balanced_culture,9,316
cells,10,balanced_culture,10,900
cells,10,balanced_culture,10,900
cells,10,balanced_culture,10,357
cells,11,balanced_culture,11,900
cells,11,balanced_culture,11,900
cells,11,balanced_culture,11,250
cells,12,balanced_culture,12,900
cells,12,balanced_culture,12,900
cells,12,balanced_culture,12,110
cells,13,balanced_culture,13,900
cells,13,balanced_culture,13,900
cells,13,balanced_culture,13,275
cells,14,balanced_culture,14,900
cells,14,balanced_culture,14,900
cells,14,balanced_culture,14,379
cells,15,balanced_culture,15,900
cells,15,balanced_culture,15,900
cells,15,balanced_culture,15,296
cells,16,balanced_culture,16,900
cells,16,balanced_culture,16,900
cells,16,balanced_culture,16,347
cells,17,balanced_culture,17,900
cells,17,balanced_culture,17,900
cells,17,balanced_culture,17,56
cells,18,balanced_culture,18,900
cells,18,balanced_culture,18,900
cells,18,balanced_culture,18,133
cells,19,balanced_culture,19,900
cells,19,balanced_culture,19,900
cells,19,balanced_culture,19,284
cells,20,balanced_culture,20,900
cells,20,balanced_culture,20,900
cells,20,balanced_culture,20,439
cells,21,balanced_culture,21,900
cells,21,balanced_culture,21,900
cells,21,balanced_culture,21,241
cells,22,balanced_culture,22,900
cells,22,balanced_culture,22,900
cells,22,balanced_culture,22,365
cells,23,balanced_culture,23,900
cells,23,balanced_culture,23,900
cells,23,balanced_culture,23,137
cells,24,balanced_culture,24,900
cells,24,balanced_culture,24,900
cells,24,balanced_culture,24,44
